# TÃ­o Pepe System Log
# This file contains system-wide logs and events
# Format: [TIMESTAMP] [LEVEL] [MODULE] Message

[2024-01-01 00:00:00] [INFO] [System] Logging system initialized2025-03-09 01:18:43,986 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:18:43,988 - root - ERROR - System initialization failed: Orchestrator.__init__() takes from 1 to 2 positional arguments but 3 were given
2025-03-09 01:18:54,751 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:18:54,752 - root - ERROR - System initialization failed: Orchestrator.__init__() takes from 1 to 2 positional arguments but 3 were given
2025-03-09 01:19:15,648 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:19:15,650 - core.orchestrator - INFO - Registered agent: task_manager
2025-03-09 01:19:15,651 - core.orchestrator - INFO - Registered agent: agent_manager
2025-03-09 01:19:15,652 - root - ERROR - System initialization failed: create_app() takes 0 positional arguments but 1 was given
2025-03-09 01:20:21,769 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:20:21,771 - core.orchestrator - INFO - Registered agent: task_manager
2025-03-09 01:20:21,772 - core.orchestrator - INFO - Registered agent: agent_manager
2025-03-09 01:20:24,682 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.5:5000
2025-03-09 01:20:24,683 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-03-09 01:20:26,827 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:26] "GET /?ide_webview_request_time=1741494026812 HTTP/1.1" 200 -
2025-03-09 01:20:26,844 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:26] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:20:26,898 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:26] "GET /static/css/style.css HTTP/1.1" 200 -
2025-03-09 01:20:29,449 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:29] "GET /?ide_webview_request_time=1741494029442 HTTP/1.1" 200 -
2025-03-09 01:20:29,474 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:29] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:20:29,476 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:29] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:20:34,281 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:34] "GET /tasks HTTP/1.1" 200 -
2025-03-09 01:20:34,305 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:34] "[33mGET /static/js/tasks.js HTTP/1.1[0m" 404 -
2025-03-09 01:20:34,306 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:34] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:20:35,039 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:35] "GET /agents HTTP/1.1" 200 -
2025-03-09 01:20:35,055 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:35] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:20:35,057 - werkzeug - INFO - 127.0.0.1 - - [09/Mar/2025 01:20:35] "[33mGET /static/js/agents.js HTTP/1.1[0m" 404 -
2025-03-09 01:20:49,486 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:20:49,487 - core.orchestrator - INFO - Registered agent: task_manager
2025-03-09 01:20:49,488 - core.orchestrator - INFO - Registered agent: agent_manager
2025-03-09 01:20:53,405 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.5:5000
2025-03-09 01:20:53,406 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-03-09 01:20:58,920 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:20:58] "GET / HTTP/1.1" 200 -
2025-03-09 01:20:58,998 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:20:58] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:20:58,999 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:20:58] "GET /static/css/style.css HTTP/1.1" 200 -
2025-03-09 01:20:59,158 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:20:59] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-03-09 01:21:02,616 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:02] "GET /agents HTTP/1.1" 200 -
2025-03-09 01:21:02,663 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:02] "[33mGET /static/js/agents.js HTTP/1.1[0m" 404 -
2025-03-09 01:21:02,663 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:02] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:21:04,991 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:04] "GET /tasks HTTP/1.1" 200 -
2025-03-09 01:21:05,015 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:05] "[33mGET /static/js/tasks.js HTTP/1.1[0m" 404 -
2025-03-09 01:21:05,016 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:05] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:21:07,777 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:07] "GET / HTTP/1.1" 200 -
2025-03-09 01:21:07,796 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:07] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:21:07,796 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:07] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:21:28,867 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:28] "GET /tasks HTTP/1.1" 200 -
2025-03-09 01:21:28,886 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:28] "[33mGET /static/js/tasks.js HTTP/1.1[0m" 404 -
2025-03-09 01:21:28,886 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:21:28] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:24:26,719 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:26] "GET / HTTP/1.1" 200 -
2025-03-09 01:24:26,768 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:26] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:24:26,768 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:26] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:24:29,787 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:29] "GET /tasks HTTP/1.1" 200 -
2025-03-09 01:24:29,804 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:29] "[33mGET /static/js/tasks.js HTTP/1.1[0m" 404 -
2025-03-09 01:24:29,805 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:29] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:24:30,263 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:30] "GET /agents HTTP/1.1" 200 -
2025-03-09 01:24:30,290 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:30] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:24:30,298 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:24:30] "[33mGET /static/js/agents.js HTTP/1.1[0m" 404 -
2025-03-09 01:29:43,000 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:43] "GET / HTTP/1.1" 200 -
2025-03-09 01:29:43,015 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:43] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:29:43,022 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:43] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:29:47,661 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:47] "GET /tasks HTTP/1.1" 200 -
2025-03-09 01:29:47,678 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:47] "[33mGET /static/js/tasks.js HTTP/1.1[0m" 404 -
2025-03-09 01:29:47,679 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:47] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:29:48,865 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:48] "GET /agents HTTP/1.1" 200 -
2025-03-09 01:29:48,884 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:48] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:29:48,893 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:29:48] "[33mGET /static/js/agents.js HTTP/1.1[0m" 404 -
2025-03-09 01:31:19,949 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:31:19] "GET / HTTP/1.1" 200 -
2025-03-09 01:31:19,971 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:31:19] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:31:19,979 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:31:19] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:31:21,373 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:31:21] "GET /agents HTTP/1.1" 200 -
2025-03-09 01:31:21,392 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:31:21] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:31:21,401 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:31:21] "[33mGET /static/js/agents.js HTTP/1.1[0m" 404 -
2025-03-09 01:38:47,456 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:47] "GET / HTTP/1.1" 200 -
2025-03-09 01:38:47,601 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:47] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:38:47,602 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:47] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:38:52,009 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:52] "GET /tasks HTTP/1.1" 200 -
2025-03-09 01:38:52,025 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:52] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:38:52,026 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:52] "[33mGET /static/js/tasks.js HTTP/1.1[0m" 404 -
2025-03-09 01:38:53,005 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:53] "GET /agents HTTP/1.1" 200 -
2025-03-09 01:38:53,025 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:53] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:38:53,026 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:53] "[33mGET /static/js/agents.js HTTP/1.1[0m" 404 -
2025-03-09 01:38:56,854 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:56] "GET / HTTP/1.1" 200 -
2025-03-09 01:38:56,872 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:56] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:38:56,872 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:38:56] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:41:59,996 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:41:59] "GET / HTTP/1.1" 200 -
2025-03-09 01:42:00,016 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:00] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:42:00,016 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:00] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:42:02,427 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:02] "GET / HTTP/1.1" 200 -
2025-03-09 01:42:02,444 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:02] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:42:02,444 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:02] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:42:16,810 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:16] "GET / HTTP/1.1" 200 -
2025-03-09 01:42:16,910 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:16] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-03-09 01:42:17,004 - werkzeug - INFO - 192.168.0.5 - - [09/Mar/2025 01:42:17] "[33mGET /static/js/dashboard.js HTTP/1.1[0m" 404 -
2025-03-09 01:42:56,980 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:42:56,982 - core.orchestrator - INFO - Registered agent: task_manager
2025-03-09 01:42:56,983 - core.orchestrator - INFO - Registered agent: agent_manager
2025-03-09 01:42:57,910 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.5:5000
2025-03-09 01:42:57,910 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-03-09 01:43:29,301 - __main__ - INFO - Initializing Tío Pepe system...
2025-03-09 01:43:29,302 - core.orchestrator - INFO - Registered agent: task_manager
2025-03-09 01:43:29,302 - core.orchestrator - INFO - Registered agent: agent_manager
2025-03-09 01:43:30,234 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
